SEQ='SI'     NUCCHG=14                                                  /LS/

   PARENT TERM INDEXING                 BWNP=  63496277.5   NPRNTI= 5   NPRNTF= 6
   --------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
   226     2    3S1 3P2 7S1         (5)1( 7.0)   121761.8*
   227     2    3S1 3P2 7S1         (3)1( 4.0)   122056.3*
   228     2    3S1 3P2 5D1         (3)2( 7.0)   122293.7*
   229     2    3S1 3P2 6D1         (5)3(17.0)   122311.3*
   230     2    3S1 3P2 7P1         (3)0( 1.0)   122380.5*
   231     2    3S1 3P2 7P1         (5)2(12.0)   122436.1*
   232     2    3S1 3P2 6D1         (5)2(12.0)   122440.0*
   233     2    3S1 3P2 7P1         (5)0( 2.0)   122493.2*
   234     2    3S1 3P2 7P1         (5)1( 7.0)   122518.2*
   235     2    3S1 3P2 7P1         (3)2( 7.0)   122636.2*
   236     2    3S1 3P2 6D1         (5)1( 7.0)   122637.8*
   237     2    3S1 3P2 6D1         (3)1( 4.0)   122699.5*
   238     2    3S1 3P2 7P1         (3)1( 4.0)   122766.7*
   239     2    3S1 3P2 6F1         (5)2(12.0)   122956.4*
   240     2    3S1 3P2 6F1         (3)2( 7.0)   122958.8*
   241     2    3S1 3P2 6G1         (5)5(27.0)   122961.3*
   242     2    3S1 3P2 6G1         (5)4(22.0)   122961.3*
   243     2    3S1 3P2 6G1         (3)4(13.0)   122961.3*
   244     2    3S1 3P2 6G1         (3)5(16.0)   122961.3*
   245     2    3S1 3P2 6G1         (3)3(10.0)   122961.3*
   246     2    3S1 3P2 6G1         (5)3(17.0)   122961.3*
   247     2    3S1 3P2 6F1         (5)4(22.0)   122971.7*
   248     2    3S1 3P2 6H1         (5)6(32.0)   122980.6*
   249     2    3S1 3P2 6H1         (5)5(27.0)   122980.6*
   250     2    3S1 3P2 6H1         (3)6(19.0)   122980.6*
   251     2    3S1 3P2 6H1         (3)5(16.0)   122980.6*
   252     2    3S1 3P2 6H1         (3)4(13.0)   122980.6*
   253     2    3S1 3P2 6H1         (5)4(22.0)   122980.6*
   254     2    3S1 3P2 6D1         (3)3(10.0)   122980.8*
   255     2    3S1 3P2 6F1         (3)4(13.0)   122985.9*
   256     2    3S1 3P2 6F1         (5)3(17.0)   123037.4*
   257     2    3S1 3P2 6F1         (3)3(10.0)   123056.1*
   258     2    3S1 3P2 8S1         (5)1( 7.0)   123063.6*
