 Fe I levels                                                            
  n    E(n)(cm-1)   g    label
   23   15      45756.250   0.000E+00   3.500E-01
   23   16      50375.300   0.000E+00   2.100E-01
   23   17      65176.470   0.000E+00   3.500E-01
   23   18     277763.890   0.000E+00   7.700E-01
   23   19          0.000   0.000E+00   9.100E-01
   23   20     178057.290   0.000E+00   2.100E-01
   23   21     285670.210   0.000E+00   6.300E-01
   23   22     643206.770   0.000E+00   7.700E-01
   24    1       4995.090   0.000E+00   8.100E-01
   24    2       5101.070   0.000E+00   6.300E-01
   24    3       5177.150   0.000E+00   4.500E-01
   24    4       5226.980   1.320E+03   8.100E-04
   24    5       5251.670   9.300E+02   9.000E-02
   24    6       7638.620   0.000E+00   9.900E-01
   24    7       7909.590   0.000E+00   8.100E-01
   24    8       8135.650   0.000E+00   6.300E-01
   24    9       8309.890   0.000E+00   4.500E-01
   24   10       8428.200   0.000E+00   2.700E-01
   24   11      12432.570   0.000E+00   8.100E-01
   24   12      13407.170   0.000E+00   6.300E-01
   24   13      14182.230   0.000E+00   4.500E-01
   24   14      40495.040   0.000E+00   6.300E-01
   24   15      43618.010   0.000E+00   4.500E-01
   24   16      47795.730   0.000E+00   2.700E-01
   24   17      60922.380   0.000E+00   4.500E-01
   24   18     214061.710   0.000E+00   9.900E-01
   24   19          0.000   0.000E+00   1.170E+00
   24   20     149531.820   0.000E+00   2.700E-01
   24   21     218726.970   0.000E+00   8.100E-01
   24   22     380795.710   0.000E+00   9.900E-01
   24   23     933384.360   0.000E+00   6.300E-01
   25    1       5157.250   0.000E+00   4.500E-01
   25    2       5270.300   0.000E+00   3.500E-01
   25    3       5351.540   0.000E+00   2.500E-01
   25    4       5404.800   0.000E+00   1.500E-01
   25    5       5431.200   4.270E+05   5.000E-02
   25    6       8024.450   0.000E+00   5.500E-01
   25    7       8324.020   0.000E+00   4.500E-01
   25    8       8574.770   0.000E+00   3.500E-01
   25    9       8768.540   0.000E+00   2.500E-01
   25   10       8900.380   0.000E+00   1.500E-01
   25   11      13488.110   0.000E+00   4.500E-01
   25   12      14642.910   0.000E+00   3.500E-01
   25   13      15572.380   0.000E+00   2.500E-01
   25   14      54348.210   0.000E+00   3.500E-01
   25   15      60125.780   0.000E+00   2.500E-01
   25   16      68362.700   0.000E+00   1.500E-01
   25   17      98815.990   0.000E+00   2.500E-01
   25   18          0.000   0.000E+00   5.500E-01
   25   19          0.000   0.000E+00   6.500E-01
   25   20    2544335.040   0.000E+00   1.500E-01
   25   21          0.000   0.000E+00   4.500E-01
   25   22          0.000   0.000E+00   5.500E-01
   25   23          0.000   0.000E+00   3.500E-01
   25   24          0.000   0.000E+00   4.500E-01
   26    1       5096.570   0.000E+00   2.700E-01
   26    2       5206.950   0.000E+00   2.100E-01
   26    3       5286.240   0.000E+00   1.500E-01
   26    4       5338.200   0.000E+00   9.000E-02
   26    5       5363.950   0.000E+00   3.000E-02
   26    6       7878.510   0.000E+00   3.300E-01
   26    7       8167.090   0.000E+00   2.700E-01
   26    8       8408.330   0.000E+00   2.100E-01
   26    9       8594.580   0.000E+00   1.500E-01
   26   10       8721.200   0.000E+00   9.000E-02
   26   11      13080.830   0.000E+00   2.700E-01
   26   12      14164.140   0.000E+00   2.100E-01
   26   13      15032.030   0.000E+00   1.500E-01
   26   14      48289.910   0.000E+00   2.100E-01
   26   15      52797.780   0.000E+00   1.500E-01
   26   16      59044.950   0.000E+00   9.000E-02
   26   17      80462.110   0.000E+00   1.500E-01
   26   18    1458938.180   0.000E+00   3.300E-01
   26   19          0.000   0.000E+00   3.900E-01
   26   20     370175.690   0.000E+00   9.000E-02
   26   21    1707096.400   0.000E+00   2.700E-01
   26   22          0.000   0.000E+00   3.300E-01
   26   23          0.000   0.000E+00   2.100E-01
   26   24          0.000   0.000E+00   2.700E-01
   26   25     433202.360   0.000E+00   1.500E-01
   27    1       5053.500   8.200E-03   9.000E-02
   27    2       5162.000   1.500E-03   7.000E-02
   27    3       5239.920   0.000E+00   5.000E-02
   27    4       5290.960   0.000E+00   3.000E-02
   27    5       5316.260   0.000E+00   1.000E-02
   27    6       7776.050   0.000E+00   1.100E-01
   27    7       8057.040   0.000E+00   9.000E-02
   27    8       8291.730   0.000E+00   7.000E-02
   27    9       8472.790   0.000E+00   5.000E-02
   27   10       8595.820   0.000E+00   3.000E-02
   27   11      12800.790   0.000E+00   9.000E-02
   27   12      13836.370   0.000E+00   7.000E-02
   27   13      14663.390   0.000E+00   5.000E-02
   27   14      44681.350   0.000E+00   7.000E-02
   27   15      48513.950   0.000E+00   5.000E-02
   27   16      53738.330   0.000E+00   3.000E-02
   27   17      70918.720   0.000E+00   5.000E-02
   27   18     424111.590   0.000E+00   1.100E-01
   27   19          0.000   0.000E+00   1.300E-01
   27   20     228631.000   0.000E+00   3.000E-02
   27   21     442824.690   0.000E+00   9.000E-02
   27   22    3201024.330   0.000E+00   1.100E-01
   27   23          0.000   0.000E+00   7.000E-02
   27   24          0.000   0.000E+00   9.000E-02
   27   25     251203.890   0.000E+00   5.000E-02
   27   26     597928.770   0.000E+00   3.000E-02
   28    1       4844.690   4.200E-01   8.100E-01
   28    2       4944.320   7.700E-02   6.300E-01
   28    3       5015.760   0.000E+00   4.500E-01
   28    4       5062.520   0.000E+00   2.700E-01
   28    5       5085.680   0.000E+00   9.000E-02
   28    6       7292.420   0.000E+00   9.900E-01
   28    7       7538.990   0.000E+00   8.100E-01
   28    8       7744.090   0.000E+00   6.300E-01
   28    9       7901.800   0.000E+00   4.500E-01
   28   10       8008.700   0.000E+00   2.700E-01
   28   11      11540.840   0.000E+00   8.100E-01
   28   12      12375.950   0.000E+00   6.300E-01
   28   13      13033.440   0.000E+00   4.500E-01
   28   14      32352.680   0.000E+00   6.300E-01
   28   15      34315.590   0.000E+00   4.500E-01
   28   16      36849.610   0.000E+00   2.700E-01
   28   17      44190.520   0.000E+00   4.500E-01
   28   18      91856.800   0.000E+00   9.900E-01
   28   19     165759.410   0.000E+00   1.170E+00
   28   20      77504.360   0.000E+00   2.700E-01
   28   21      92705.300   0.000E+00   8.100E-01
   28   22     113108.870   0.000E+00   9.900E-01
   28   23     137243.300   0.000E+00   6.300E-01
   28   24     160902.080   0.000E+00   8.100E-01
   28   25      79939.440   0.000E+00   4.500E-01
   28   26      98028.840   0.000E+00   2.700E-01
   28   27     117251.990   0.000E+00   9.000E-02
   29    1       4790.530   3.900E-02   6.300E-01
   29    2       4887.920   2.300E-01   4.900E-01
   29    3       4957.730   7.900E-02   3.500E-01
   29    4       5003.410   0.000E+00   2.100E-01
   29    5       5026.020   0.000E+00   7.000E-02
   29    6       7170.390   0.000E+00   7.700E-01
   29    7       7408.640   0.000E+00   6.300E-01
   29    8       7606.620   0.000E+00   4.900E-01
   29    9       7758.720   0.000E+00   3.500E-01
   29   10       7861.760   0.000E+00   2.100E-01
   29   11      11238.150   0.000E+00   6.300E-01
   29   12      12028.530   0.000E+00   4.900E-01
   29   13      12648.700   0.000E+00   3.500E-01
   29   14      30081.420   0.000E+00   4.900E-01
   29   15      31771.210   0.000E+00   3.500E-01
   29   16      33931.550   0.000E+00   2.100E-01
   29   17      40059.190   0.000E+00   3.500E-01
   29   18      75641.360   0.000E+00   7.700E-01
   29   19     119522.720   0.000E+00   9.100E-01
   29   20      65632.860   0.000E+00   2.100E-01
   29   21      76215.790   0.000E+00   6.300E-01
   29   22      89486.980   0.000E+00   7.700E-01
   29   23     103949.020   0.000E+00   4.900E-01
   29   24     116976.440   0.000E+00   6.300E-01
   29   25      67370.740   0.000E+00   3.500E-01
   29   26      79777.580   0.000E+00   2.100E-01
   29   27      92060.600   0.000E+00   7.000E-02
   29   28     428491.240   0.000E+00   6.300E-01
   30    1       4753.070   0.000E+00   4.500E-01
   30    2       4848.930   2.500E-02   3.500E-01
   30    3       4917.630   9.200E-02   2.500E-01
   30    4       4962.560   4.500E-02   1.500E-01
   30    5       4984.810   0.000E+00   5.000E-02
   30    6       7086.800   0.000E+00   5.500E-01
   30    7       7319.440   0.000E+00   4.500E-01
   30    8       7512.610   0.000E+00   3.500E-01
   30    9       7660.940   0.000E+00   2.500E-01
   30   10       7761.390   0.000E+00   1.500E-01
   30   11      11034.160   0.000E+00   4.500E-01
   30   12      11795.140   0.000E+00   3.500E-01
   30   13      12390.890   0.000E+00   2.500E-01
   30   14      28663.060   0.000E+00   3.500E-01
   30   15      30193.200   0.000E+00   2.500E-01
   30   16      32137.700   0.000E+00   1.500E-01
   30   17      37582.600   0.000E+00   2.500E-01
   30   18      67270.850   0.000E+00   5.500E-01
   30   19      99884.030   0.000E+00   6.500E-01
   30   20      59237.250   0.000E+00   1.500E-01
   30   21      67724.800   0.000E+00   4.500E-01
   30   22      78004.280   0.000E+00   5.500E-01
   30   23      88769.740   0.000E+00   3.500E-01
   30   24      98099.520   0.000E+00   4.500E-01
   30   25      60649.290   0.000E+00   2.500E-01
   30   26      70522.610   0.000E+00   1.500E-01
   30   27      79952.600   0.000E+00   5.000E-02
   30   28     251333.950   0.000E+00   4.500E-01
   30   29     607902.740   0.000E+00   3.500E-01
   31    1       4604.950   0.000E+00   9.900E-01
   31    2       4694.870   0.000E+00   7.700E-01
   31    3       4759.240   0.000E+00   5.500E-01
   31    4       4801.310   0.000E+00   3.300E-01
   31    5       4822.140   0.000E+00   1.100E-01
   31    6       6762.470   1.300E-01   1.210E+00
   31    7       6973.990   2.600E-02   9.900E-01
   31    8       7149.140   0.000E+00   7.700E-01
   31    9       7283.330   0.000E+00   5.500E-01
   31   10       7374.060   0.000E+00   3.300E-01
   31   11      10267.460   1.100E-02   9.900E-01
   31   12      10923.210   0.000E+00   7.700E-01
   31   13      11432.230   0.000E+00   5.500E-01
   31   14      24006.380   0.000E+00   7.700E-01
   31   15      25070.490   0.000E+00   5.500E-01
   31   16      26396.650   0.000E+00   3.300E-01
   31   17      29962.050   0.000E+00   5.500E-01
   31   18      46226.170   0.000E+00   1.210E+00
   31   19      59597.950   0.000E+00   1.430E+00
   31   20      42285.520   0.000E+00   3.300E-01
   31   21      46440.070   0.000E+00   9.900E-01
   31   22      51053.490   0.000E+00   1.210E+00
   31   23      55455.150   0.000E+00   7.700E-01
   31   24      58958.020   0.000E+00   9.900E-01
   31   25      43000.160   0.000E+00   5.500E-01
   31   26      47738.760   0.000E+00   3.300E-01
   31   27      51880.940   0.000E+00   1.100E-01
   31   28      93055.630   0.000E+00   9.900E-01
   31   29     118870.870   0.000E+00   7.700E-01
   31   30     147765.270   0.000E+00   5.500E-01
   32    1       4545.630   7.000E-03   8.100E-01
   32    2       4633.230   2.000E-03   6.300E-01
   32    3       4695.900   0.000E+00   4.500E-01
   32    4       4736.860   0.000E+00   2.700E-01
   32    5       4757.130   0.000E+00   9.000E-02
   32    6       6635.310   7.000E-03   9.900E-01
   32    7       6838.830   7.200E-02   8.100E-01
   32    8       7007.170   3.200E-02   6.300E-01
   32    9       7136.040   0.000E+00   4.500E-01
   32   10       7223.120   0.000E+00   2.700E-01
   32   11       9977.150   1.500E-02   8.100E-01
   32   12      10595.220   0.000E+00   6.300E-01
   32   13      11073.470   0.000E+00   4.500E-01
   32   14      22477.180   0.000E+00   6.300E-01
   32   15      23407.420   0.000E+00   4.500E-01
   32   16      24559.430   0.000E+00   2.700E-01
   32   17      27617.050   0.000E+00   4.500E-01
   32   18      40871.810   0.000E+00   9.900E-01
   32   19      50986.410   0.000E+00   1.170E+00
   32   20      37760.460   0.000E+00   2.700E-01
   32   21      41038.940   0.000E+00   8.100E-01
   32   22      44600.510   0.000E+00   9.900E-01
   32   23      47923.570   0.000E+00   6.300E-01
   32   24      50517.320   0.000E+00   8.100E-01
   32   25      38329.300   0.000E+00   4.500E-01
   32   26      42049.830   0.000E+00   2.700E-01
   32   27      45230.720   0.000E+00   9.000E-02
   32   28      73636.460   0.000E+00   8.100E-01
   32   29      88916.870   0.000E+00   6.300E-01
   32   30     104150.830   0.000E+00   4.500E-01
   32   31     352861.890   0.000E+00   9.900E-01
   33    1       4494.490   0.000E+00   6.300E-01
   33    2       4580.110   3.000E-03   4.900E-01
   33    3       4641.350   1.000E-03   3.500E-01
   33    4       4681.360   0.000E+00   2.100E-01
   33    5       4701.150   0.000E+00   7.000E-02
   33    6       6526.910   0.000E+00   7.700E-01
