SEQ='SI'     NUCCHG=16                                                  /IC/

   PARENT LEVEL INDEXING                BWNP=  86978558.0   NPRNTI=10   NPRNTF=12
   ---------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
   261     2    3S2 3P1 6F1         (1)2( 2.0)   276646.2 
   262     2    3S2 3P1 7P1         (3)2( 1.0)   276826.7 
   263     2    3S2 3P1 7P1         (3)2( 3.0)   276939.5 
   264     2    3S2 3P1 7P1         (3)1( 2.0)   277009.9 
   265     2    3S2 3P1 7P1         (3)0( 1.0)   277221.3 
   266     2    3S2 3P1 7P1         (1)2( 2.0)   277407.6 
   267     2    3S2 3P1 7P1         (1)0( 0.0)   278159.2 
   268     1    3S2 3P1 7D1         (3)3( 2.0)   280618.1 
   269     1    3S2 3P1 7D1         (3)2( 2.0)   280704.1 
   270     1    3S2 3P1 7D1         (3)3( 3.0)   280760.9 
   271     1    3S2 3P1 7D1         (3)2( 1.0)   280783.4 
   272     2    3S2 3P1 7D1         (1)2( 2.0)   281342.6 
   273     2    3S2 3P1 7D1         (3)2( 3.0)   281418.5 
   274     1    3S2 3P1 8S1         (3)1( 0.0)   281452.8 
   275     2    3S2 3P1 7D1         (3)3( 4.0)   281481.1 
   276     1    3S2 3P1 8S1         (3)1( 1.0)   281507.9 
   277     2    3S2 3P1 7D1         (3)1( 2.0)   281582.1 
   278     2    3S2 3P1 7D1         (3)1( 1.0)   281658.3 
   279     2    3S2 3P1 7D1         (3)1( 0.0)   281730.7 
   280     2    3S2 3P1 7D1         (1)3( 3.0)   281797.3 
   281     2    3S2 3P1 7D1         (1)1( 1.0)   281965.7 
   282     2    3S2 3P1 8S1         (3)1( 2.0)   282243.3 
   283     2    3S2 3P1 8S1         (1)1( 1.0)   282382.9 
   284     1    3S2 3P1 7F1         (3)4( 3.0)   282500.7 
   285     1    3S2 3P1 7F1         (3)3( 3.0)   282597.0 
   286     1    3S2 3P1 7F1         (3)4( 4.0)   282645.8 
   287     1    3S2 3P1 7F1         (3)3( 2.0)   282675.2 
   288     1    3S2 3P1 7G1         (1)*( 3.0)   282798.5 
   289     1    3S2 3P1 7G1         (1)*( 4.0)   282798.5 
   290     1    3S2 3P1 7G1         (1)*( 4.0)   282798.5 
   291     1    3S2 3P1 7G1         (1)*( 5.0)   282798.5 
   292     1    3S2 3P1 7H1         (1)*( 4.0)   282867.6 
   293     1    3S2 3P1 7H1         (1)*( 5.0)   282867.6 
   294     1    3S2 3P1 7H1         (1)*( 5.0)   282867.6 
   295     1    3S2 3P1 7H1         (1)*( 6.0)   282867.6 
   296     1    3S2 3P1 7I1         (1)*( 5.0)   282898.3 
   297     1    3S2 3P1 7I1         (1)*( 6.0)   282898.3 
   298     1    3S2 3P1 7I1         (1)*( 6.0)   282898.3 
   299     1    3S2 3P1 7I1         (1)*( 7.0)   282898.3 
   300     1    3S2 3P1 8P1         (3)2( 1.0)   283208.7 
   301     2    3S2 3P1 7F1         (1)3( 3.0)   283232.6 
   302     2    3S2 3P1 7F1         (3)3( 4.0)   283297.4 
   303     1    3S2 3P1 8P1         (3)1( 1.0)   283331.7 
   304     2    3S2 3P1 7F1         (3)4( 5.0)   283354.8 
   305     1    3S2 3P1 8P1         (3)2( 2.0)   283370.7 
   306     2    3S2 3P1 7F1         (3)2( 3.0)   283441.5 
   307     1    3S2 3P1 8P1         (3)1( 0.0)   283465.4 
   308     2    3S2 3P1 7F1         (3)2( 2.0)   283511.8 
   309     2    3S2 3P1 7G1         (1)*( 2.0)   283589.0 
   310     2    3S2 3P1 7G1         (1)*( 3.0)   283589.0 
   311     2    3S2 3P1 7G1         (1)*( 4.0)   283589.0 
   312     2    3S2 3P1 7G1         (1)*( 5.0)   283589.0 
   313     2    3S2 3P1 7G1         (1)*( 3.0)   283589.0 
   314     2    3S2 3P1 7G1         (1)*( 4.0)   283589.0 
   315     2    3S2 3P1 7G1         (1)*( 5.0)   283589.0 
   316     2    3S2 3P1 7G1         (1)*( 6.0)   283589.0 
   317     2    3S2 3P1 7F1         (3)2( 1.0)   283612.1 
   318     2    3S2 3P1 7H1         (1)*( 3.0)   283658.1 
   319     2    3S2 3P1 7H1         (1)*( 4.0)   283658.1 
   320     2    3S2 3P1 7H1         (1)*( 5.0)   283658.1 
   321     2    3S2 3P1 7H1         (1)*( 6.0)   283658.1 
   322     2    3S2 3P1 7H1         (1)*( 4.0)   283658.1 
   323     2    3S2 3P1 7H1         (1)*( 5.0)   283658.1 
   324     2    3S2 3P1 7H1         (1)*( 6.0)   283658.1 
   325     2    3S2 3P1 7H1         (1)*( 7.0)   283658.1 
   326     2    3S2 3P1 7I1         (1)*( 4.0)   283688.8 
   327     2    3S2 3P1 7I1         (1)*( 5.0)   283688.8 
   328     2    3S2 3P1 7I1         (1)*( 6.0)   283688.8 
   329     2    3S2 3P1 7I1         (1)*( 7.0)   283688.8 
   330     2    3S2 3P1 7I1         (1)*( 5.0)   283688.8 
   331     2    3S2 3P1 7I1         (1)*( 6.0)   283688.8 
   332     2    3S2 3P1 7I1         (1)*( 7.0)   283688.8 
   333     2    3S2 3P1 7I1         (1)*( 8.0)   283688.8 
   334     2    3S2 3P1 7F1         (1)4( 4.0)   283760.3 
   335     2    3S2 3P1 7F1         (1)2( 2.0)   283818.1 
   336     2    3S2 3P1 8P1         (1)1( 1.0)   283974.9 
   337     2    3S2 3P1 8P1         (3)2( 3.0)   284058.3 
   338     2    3S2 3P1 8P1         (3)1( 2.0)   284099.1 
   339     2    3S2 3P1 8P1         (3)0( 1.0)   284225.4 
   340     2    3S2 3P1 8P1         (1)2( 2.0)   284332.8 
   341     2    3S2 3P1 8P1         (1)0( 0.0)   284775.1 
   342     6    3S1 3P2 4P1         (3)2( 1.0)   286109.5 
   343     6    3S1 3P2 4P1         (3)2( 2.0)   286127.3 
   344     1    3S2 3P1 8D1         (3)3( 2.0)   286138.9 
   345     6    3S1 3P2 4P1         (3)2( 3.0)   286153.7 
   346     1    3S2 3P1 8D1         (3)2( 2.0)   286193.9 
   347     1    3S2 3P1 8D1         (3)3( 3.0)   286232.3 
   348     1    3S2 3P1 8D1         (3)2( 1.0)   286255.0 
   349  9999    3S1 3P2 3D1         (3)2( 3.0)   286264.8 
   350  9999    3S1 3P2 3D1         (3)2( 2.0)   286490.1 
   351  9999    3S1 3P2 3D1         (3)2( 1.0)   286640.1 
   352     8    3S1 3P2 4S1         (3)0( 1.0)   286773.2 
   353     6    3S1 3P2 4P1         (3)3( 2.0)   286865.3 
   354     2    3S2 3P1 8D1         (1)2( 2.0)   286875.6 
   355     2    3S2 3P1 8D1         (3)2( 3.0)   286926.7 
   356     7    3S1 3P2 4P1         (3)3( 3.0)   286947.5 
   357     2    3S2 3P1 8D1         (3)3( 4.0)   286970.3 
   358     2    3S2 3P1 8D1         (3)1( 2.0)   287023.0 
   359     7    3S1 3P2 4P1         (3)3( 4.0)   287042.7 
   360     2    3S2 3P1 8D1         (3)1( 1.0)   287073.3 
   361     2    3S2 3P1 8D1         (3)1( 0.0)   287128.4 
   362     2    3S2 3P1 8D1         (1)3( 3.0)   287159.6 
   363     2    3S2 3P1 8D1         (1)1( 1.0)   287266.0 
   364     1    3S2 3P1 8F1         (3)4( 3.0)   287366.7 
   365     1    3S2 3P1 8F1         (3)3( 3.0)   287437.8 
   366     1    3S2 3P1 8F1         (3)4( 4.0)   287473.1 
   367     1    3S2 3P1 8F1         (3)3( 2.0)   287499.9 
   368     1    3S2 3P1 8G1         (1)*( 3.0)   287569.5 
   369     1    3S2 3P1 8G1         (1)*( 4.0)   287569.5 
   370     1    3S2 3P1 8G1         (1)*( 4.0)   287569.5 
   371     1    3S2 3P1 8G1         (1)*( 5.0)   287569.5 
   372     7    3S1 3P2 4P1         (1)2( 2.0)   287612.5 
   373     1    3S2 3P1 8H1         (1)*( 4.0)   287615.8 
   374     1    3S2 3P1 8H1         (1)*( 5.0)   287615.8 
   375     1    3S2 3P1 8H1         (1)*( 5.0)   287615.8 
   376     1    3S2 3P1 8H1         (1)*( 6.0)   287615.8 
   377     1    3S2 3P1 8I1         (1)*( 5.0)   287636.3 
   378     1    3S2 3P1 8I1         (1)*( 6.0)   287636.3 
   379     1    3S2 3P1 8I1         (1)*( 6.0)   287636.3 
   380     1    3S2 3P1 8I1         (1)*( 7.0)   287636.3 
   381     1    3S2 3P1 8J1         (1)*( 6.0)   287646.8 
   382     1    3S2 3P1 8J1         (1)*( 7.0)   287646.8 
   383     1    3S2 3P1 8J1         (1)*( 7.0)   287646.8 
   384     1    3S2 3P1 8J1         (1)*( 8.0)   287646.8 
   385     2    3S2 3P1 8F1         (1)3( 3.0)   288111.9 
   386     2    3S2 3P1 8F1         (3)3( 4.0)   288158.2 
