SEQ='SI'     NUCCHG=18                                                  /LS/

   PARENT TERM INDEXING                 BWNP= 114331065.6   NPRNTI= 5   NPRNTF=21
   --------------------
   INDP         CODE                 S L   WI        WNP
   237     1    3S2 3P1 7I1         (1)7( 7.0)   568238.5 
   238     1    3S2 3P1 7I1         (1)6( 6.0)   568238.5 
   239     1    3S2 3P1 7I1         (1)5( 5.0)   568238.5 
   240     1    3S2 3P1 7F1         (1)2( 2.0)   568246.1 
   241     1    3S2 3P1 8S1         (3)1( 4.0)   568876.7 
   242     2    3S1 3P2 5P1         (5)2(12.0)   569115.2 
   243     1    3S2 3P1 8S1         (1)1( 1.0)   569172.9 
   244     2    3S1 3P2 5P1         (5)0( 2.0)   570055.4 
   245     2    3S1 3P2 5P1         (5)1( 7.0)   570892.6 
   246     1    3S2 3P1 8P1         (1)1( 1.0)   572103.9 
   247     1    3S2 3P1 8P1         (3)2( 7.0)   572423.2 
   248     1    3S2 3P1 8P1         (3)1( 4.0)   572520.6 
   249     1    3S2 3P1 8P1         (3)0( 1.0)   572842.9 
   250     1    3S2 3P1 8P1         (1)2( 2.0)   573042.6 
   251     2    3S1 3P2 5P1         (3)2( 7.0)   573049.8 
   252     1    3S2 3P1 8P1         (1)0( 0.0)   573891.3 
   253  9999    3P3 3D1             (1)1( 1.0)   575298.7 
   254     3    3S1 3P2 4F1         (3)4(13.0)   575749.8 
   255     2    3S1 3P2 5P1         (3)1( 4.0)   575770.9 
   256     3    3S1 3P2 4F1         (3)3(10.0)   575869.1 
   257     3    3S1 3P2 4F1         (1)4( 4.0)   576380.5 
   258     1    3S2 3P1 8D1         (1)2( 2.0)   577626.3 
   259     1    3S2 3P1 8D1         (3)2( 7.0)   577737.0 
   260     1    3S2 3P1 8D1         (3)3(10.0)   577945.6 
   261     1    3S2 3P1 8D1         (3)1( 4.0)   578199.2 
   262     1    3S2 3P1 8D1         (1)3( 3.0)   578283.7 
   263     3    3S1 3P2 4F1         (1)3( 3.0)   578395.2 
   264     1    3S2 3P1 8D1         (1)1( 1.0)   578516.1 
   265     3    3S1 3P2 4F1         (3)5(16.0)   579364.4 
   266     1    3S2 3P1 8F1         (1)3( 3.0)   580253.2 
   267     1    3S2 3P1 8F1         (3)3(10.0)   580454.4 
   268     1    3S2 3P1 8F1         (3)4(13.0)   580516.7 
   269     1    3S2 3P1 8F1         (3)2( 7.0)   580874.0 
   270     3    3S1 3P2 4F1         (3)2( 7.0)   581112.1 
   271     1    3S2 3P1 8G1         (3)3(10.0)   581246.6 
   272     1    3S2 3P1 8G1         (3)4(13.0)   581246.6 
   273     1    3S2 3P1 8G1         (1)5( 5.0)   581246.6 
   274     1    3S2 3P1 8G1         (3)5(16.0)   581246.6 
   275     1    3S2 3P1 8G1         (1)3( 3.0)   581246.6 
   276     1    3S2 3P1 8G1         (1)4( 4.0)   581246.6 
   277     1    3S2 3P1 8F1         (1)4( 4.0)   581319.1 
   278     1    3S2 3P1 8H1         (3)5(16.0)   581346.6 
   279     1    3S2 3P1 8H1         (1)5( 5.0)   581346.6 
   280     1    3S2 3P1 8H1         (3)4(13.0)   581346.6 
   281     1    3S2 3P1 8H1         (3)6(19.0)   581346.6 
