Total line luminosity    2.481E+36
    Fe II        7388.23   5.314E+28   1.505E-07
    Fe IV        5033.64   5.287E+28   1.497E-07
    Fe III       3366.24   5.259E+28   1.489E-07
    O  I      1454952.27   5.238E+28   1.483E-07
    Fe IV       27134.32   5.186E+28   1.468E-07
    Fe IV        4208.92   5.163E+28   1.462E-07
    Fe IV        6792.55   4.953E+28   1.403E-07
    Fe III       3319.25   4.785E+28   1.355E-07
    Fe III      29041.02   4.772E+28   1.351E-07
    Fe V        21871.77   4.648E+28   1.316E-07
    Fe III       4079.74   4.577E+28   1.296E-07
    Fe V         4208.92   4.535E+28   1.284E-07
    Fe V         7555.66   4.331E+28   1.226E-07
    Fe V         2570.17   4.261E+28   1.206E-07
    Fe III      32284.97   4.203E+28   1.190E-07
    Fe V         5685.40   4.183E+28   1.184E-07
    Si I         2519.20   3.991E+28   1.130E-07
    Fe III       4046.46   3.943E+28   1.117E-07
    Si I         2528.51   3.903E+28   1.105E-07
    Fe IV        7184.06   3.814E+28   1.080E-07
    Fe III       2483.07   3.789E+28   1.073E-07
    Fe III       3406.22   3.765E+28   1.066E-07
    Fe IV        7191.30   3.531E+28   9.997E-08
    Fe IV       15443.05   3.470E+28   9.825E-08
    Fe II        5261.66   3.464E+28   9.807E-08
    Fe V         5632.23   3.385E+28   9.586E-08
    Ar IV      775794.63   3.338E+28   9.452E-08
    S  II        1363.39   3.265E+28   9.246E-08
    Fe V         8026.13   3.172E+28   8.983E-08
    S  II        1549.38   3.124E+28   8.846E-08
    Fe II        9471.03   3.080E+28   8.722E-08
    Fe III       9608.68   3.079E+28   8.719E-08
    Fe V         5033.64   3.057E+28   8.655E-08
    Si I         2216.67   3.035E+28   8.594E-08
    Fe V         6193.98   2.998E+28   8.490E-08
    Fe III      30431.54   2.880E+28   8.155E-08
    Fe II        7665.38   2.879E+28   8.151E-08
    Fe II      346510.17   2.838E+28   8.036E-08
    Fe IV       15412.34   2.837E+28   8.033E-08
    S  II        1803.84   2.818E+28   7.980E-08
    Fe IV        4869.28   2.818E+28   7.980E-08
    Fe V         4902.03   2.816E+28   7.974E-08
    Fe IV        4152.38   2.805E+28   7.942E-08
    Fe III       3301.59   2.737E+28   7.749E-08
    S  II        1824.04   2.731E+28   7.732E-08
    Fe V        25991.50   2.717E+28   7.694E-08
    Fe V         3973.08   2.622E+28   7.424E-08
    Fe I        13552.49   2.607E+28   7.382E-08
    Fe III       9444.30   2.599E+28   7.359E-08
